OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID,SHAPE_Length,SHAPE_Area
14694,CORAOPOLIS,BOROUGH,Coraopolis Borough,Char-West,Cornell,20,16144,AA,946.46716308,1.47885501,817,003120,1,Northwest Regional,West,West,1979,{88A19229-C6D1-40CC-A3FF-FB74D994A760},28328.9411845838,40822279.094166
14697,ROBINSON,TOWNSHIP,Robinson Township,South Hills Area,Montour,14,65352,AA,9622.30078125,15.03484535,939,003470,4,Northwest Regional,West,West,1977,{B88B62AD-7BD5-432B-B477-492B700C7EFC},146471.603261378,427053096.201439
15516,MCDONALD,BOROUGH,McDonald Borough, ,Fort Cherry,20,46072,AA,121.22844696,0.18941937,841,003325,5,Southwest Regional,West,West,2007,{B3ABDB2D-C811-447B-9F24-C0F88DAB24DF},14254.8487545123,5384304.29557382
15520,SOUTH FAYETTE,TOWNSHIP,South Fayette Township,South Hills Area,South Fayete Township,20,72160,AA,13000.65722656,20.31353187,946,003525,5,Southwest Regional,West,West,2007,{683371B8-88BF-4487-8FB7-24AB3A998DF0},122719.181730253,565935686.73317
15581,NORTH FAYETTE,TOWNSHIP,North Fayette Township,Char-West,West Allegheny,20,55016,AA,16090.4140625,25.14126586,929,003385,4,Southwest Regional,West,West,2007,{021EA3B6-5179-444F-B204-C1B9A8E36AD1},135910.492462912,702318752.474311
17073,FORWARD,TOWNSHIP,Forward Township,Steel Rivers,Elizabeth Forward,18,26896,MV,12703.65527343,19.84946823,911,003210,9,Mon-Valley,South,Mon Valley,1990,{2004C3D4-EE05-4594-9579-086A6915E6B6},104989.763793515,554146338.358714
17476,SOUTH VERSAILLES,TOWNSHIP,South Versailles Township,Steel Rivers,McKeesport Area,18,72568,MV,633.78521728,0.99028939,947,003530,9,Mon-Valley,South,Mon Valley,1975,{99488CF4-5FAF-43B3-90AD-3865C5E8791F},29117.8509422138,27238741.3992363
18278,WHITE OAK,BOROUGH,White Oak Borough,Steel Rivers,McKeesport Area,18,84704,MV,4233.85595703,6.61539983,875,003630,9,Mon-Valley,South,Mon Valley,1975,{B378A25E-3176-4033-8510-FFB0C367F8AC},64577.0548263082,-185914885.623703
18673,NORTH VERSAILLES,TOWNSHIP,North Versailles Township,Turtle Creek Valley,East Allegheny,18,55488,MV,5342.85693359,8.34821414,930,003390,8,East Regional,East,Mon Valley,1972,{6D67CB8D-B590-4179-A731-4E9B1A99E39B},118303.659088173,227942359.064195
19482,BRADFORD WOODS,BOROUGH,Bradford Woods Borough,North Hills,North Allegheny,4,8064,NH,589.59259033,0.92123842,809,003070,2,NEWCOM,North,North,2007,{99972DBE-FDB3-4DDD-B8B8-0D2D92EF5B7E},26900.5261328729,24844844.3628446
21872,ALEPPO,TOWNSHIP,Aleppo Township,Quaker Valley,Quaker Valley,14,724,AA,1124.58923339,1.75717031,901,003005,1,Northwest Regional,North,Northwest,1974,{549BD1A0-64CC-4110-9E98-7FD73ED9373E},43972.6371145038,49448776.1063053
